ST_CASE,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
10543,0,0,0,0,0,0,0,0,0,40
10544,35,35,35,35,35,35,35,35,35,35
10545,0,0,0,0,0,0,0,0,0,0
10546,19,7,17,13,9,10,8,9,14,17
10547,19,19,19,19,19,19,19,19,19,19
10548,0,0,13,18,0,0,0,0,0,0
10549,0,0,0,0,0,0,0,0,0,0
10550,0,0,0,0,0,0,0,0,0,0
10551,21,21,21,21,21,21,21,21,21,21
10552,0,0,0,0,0,0,0,0,0,0
10553,23,23,23,23,23,23,23,23,23,23
10554,15,15,15,15,15,15,15,15,15,15
10555,0,8,0,0,0,0,0,0,0,0
10556,0,0,0,0,0,0,0,0,0,0
10557,1,1,1,1,1,1,1,1,1,1
10558,0,0,0,0,0,0,0,0,0,0
10559,0,0,0,0,0,0,0,0,0,0
10560,0,27,10,0,0,0,34,0,0,0
10561,20,0,14,0,0,0,0,0,0,0
10562,0,0,0,0,0,0,0,0,0,0
10563,0,0,0,0,0,0,0,0,0,0
10564,0,0,0,0,0,0,0,0,0,0
10565,11,14,11,23,30,7,19,17,18,22
10566,21,25,31,12,12,21,18,12,18,12
10567,0,0,0,0,0,0,0,0,0,0
10568,0,0,0,0,2,0,0,0,0,0
10569,15,15,15,15,15,15,15,15,15,15
10570,0,0,0,0,0,0,0,0,0,0
10571,0,19,19,0,0,8,0,0,0,0
10572,18,18,18,18,18,18,18,18,18,18
10573,0,0,0,0,0,0,0,0,0,0
10574,0,0,0,0,0,0,0,0,0,0
10575,0,0,0,0,0,0,0,0,0,0
10576,0,0,0,0,0,0,0,0,0,0
10577,9,0,0,0,0,0,0,9,0,0
10578,0,0,0,0,0,0,0,0,0,0
10579,0,0,0,0,0,0,0,0,0,0
10580,0,0,0,0,0,0,0,0,0,0
10581,0,0,0,0,0,0,0,0,0,0
10582,23,0,0,8,0,18,0,8,0,0
10583,0,0,0,0,0,0,0,0,0,0
10584,0,0,0,0,0,0,0,0,0,0
10585,6,6,6,6,6,6,6,6,6,6
10586,21,21,21,21,21,21,21,21,21,21
10587,0,0,0,0,0,0,0,0,0,0
10588,0,0,0,0,0,0,0,0,0,0
10589,0,0,0,0,0,0,0,0,0,0
10590,13,0,10,8,14,0,17,0,0,0
10591,0,0,0,0,0,0,0,0,0,0
10592,0,0,0,0,0,0,0,0,0,0
10593,0,0,14,0,26,0,0,0,0,0
10594,6,6,6,6,6,6,6,6,6,6
10595,0,17,0,5,26,0,0,0,0,17
10596,17,0,5,26,36,15,0,15,0,0
10597,0,0,0,0,0,0,0,0,0,0
10598,0,34,0,0,0,0,0,0,0,0
10599,16,0,0,0,0,20,0,0,0,0
10600,1,1,19,1,1,1,1,1,1,11
10601,0,0,6,26,0,13,0,0,0,0
10602,0,0,0,0,0,0,0,0,0,0
10604,0,0,0,0,0,0,0,0,0,0
10605,14,14,14,14,14,14,14,14,14,14
10606,0,0,0,0,0,0,0,0,0,0
10607,0,0,0,0,0,0,0,0,0,0
10608,0,0,0,0,0,0,0,0,0,0
