ST_CASE,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
10376,0,0,0,0,0,0,0,0,0,0
10377,17,17,17,17,17,17,17,17,17,17
10378,0,0,0,0,0,0,0,0,0,0
10379,0,0,5,0,0,0,0,0,0,12
10380,23,23,23,23,23,23,23,23,23,23
10381,0,0,0,0,0,0,0,0,0,0
10382,0,0,0,0,0,0,0,0,0,0
10383,0,12,0,0,0,0,0,0,0,0
10384,0,0,0,0,0,0,0,0,0,0
10385,0,0,0,0,0,0,0,0,0,0
10386,1,1,1,1,1,1,1,1,1,1
10387,0,0,0,0,0,0,0,0,0,0
10388,14,14,14,14,14,14,14,14,14,14
10389,0,0,0,0,0,0,0,0,0,0
10390,0,0,0,0,0,0,0,0,22,0
10391,0,0,0,0,0,0,0,0,0,14
10392,0,0,0,0,0,0,0,0,0,0
10393,21,21,21,21,21,21,21,21,21,21
10394,0,0,0,0,0,0,0,0,0,0
10395,27,27,27,27,27,27,27,27,27,27
10396,0,0,0,0,17,0,0,0,0,0
10397,0,0,0,0,0,0,0,0,0,0
10398,0,0,0,0,0,0,0,0,0,0
10399,20,0,0,0,0,4,0,0,0,0
10400,0,39,0,0,0,31,0,0,0,30
10401,0,0,0,0,0,0,0,0,0,0
10402,7,7,7,7,7,7,7,7,7,7
10403,24,24,24,24,24,24,24,24,24,24
10404,0,0,0,0,0,0,0,0,0,0
10405,0,0,0,0,0,9,0,0,0,0
10406,0,0,0,0,0,0,0,0,0,0
10407,0,30,0,0,0,0,0,0,0,0
10408,0,0,0,0,0,0,0,0,0,0
10409,0,0,0,8,0,0,0,0,10,0
10410,0,8,0,18,22,0,0,0,17,0
10411,0,0,0,0,0,0,0,0,0,0
10412,0,0,0,0,0,0,0,0,0,0
10413,0,0,0,0,0,0,0,0,0,0
10414,27,27,27,27,27,27,27,27,27,27
10415,0,0,0,0,0,0,0,0,0,0
10416,0,0,0,0,11,18,0,0,25,0
10417,0,0,0,0,0,0,0,0,0,0
10418,21,21,21,21,21,21,21,21,21,21
10419,0,0,0,0,0,0,0,0,0,0
10420,0,18,13,14,0,24,0,0,0,0
10421,12,4,0,0,0,0,0,0,0,0
10422,0,0,0,0,0,0,0,0,0,0
10423,0,8,0,0,0,0,0,11,0,0
10424,5,0,0,0,0,0,0,0,0,0
10425,0,0,0,0,0,0,0,0,0,0
10426,8,0,18,17,0,0,3,0,0,0
10427,0,0,0,0,0,0,0,19,0,20
10428,31,0,9,0,0,14,0,13,19,15
10429,0,0,0,21,0,0,0,0,0,0
10430,18,26,28,20,17,36,15,37,20,16
10431,0,0,0,0,0,38,0,0,0,0
10432,0,0,0,0,0,0,0,0,0,0
10433,0,19,0,0,26,0,11,0,16,0
10434,32,32,32,32,32,32,32,32,32,32
10435,23,23,23,23,23,23,23,23,23,23
10436,0,0,0,0,0,0,0,0,0,0
10437,0,0,0,0,0,0,0,0,0,0
10438,21,21,21,21,21,21,21,21,21,21
10439,0,0,0,0,0,0,0,0,0,0
10440,14,14,14,14,14,14,14,14,14,14
10441,9,0,0,5,0,0,0,0,0,19
10442,0,15,0,6,0,0,0,8,0,0
10443,15,15,15,15,15,15,15,15,15,15
10444,18,0,19,14,12,0,20,33,7,23
10445,0,0,0,0,0,0,0,0,0,0
10446,15,15,15,15,15,15,15,15,15,15
10447,19,19,19,19,19,19,19,19,19,19
10448,0,0,0,0,0,0,0,0,0,0
10449,0,0,0,0,0,0,0,0,0,0
10450,0,0,0,0,0,0,0,0,0,0
10451,0,0,0,0,0,0,0,0,0,0
10452,7,7,7,7,7,7,7,7,7,7
10453,0,0,0,0,0,0,0,0,0,0
10454,26,26,26,26,26,26,26,26,26,26
10455,0,0,0,0,0,0,0,0,0,0
10456,0,0,0,0,0,0,0,0,0,0
10457,0,0,0,0,0,0,0,0,0,0
10458,0,0,0,0,0,0,0,0,0,0
10459,7,0,0,0,0,23,2,30,0,14
10460,0,0,0,0,0,0,0,0,0,0
10461,17,17,17,17,17,17,17,17,17,17
10462,0,0,0,0,0,0,0,0,0,0
10463,0,0,0,0,0,0,0,0,0,0
10464,28,28,28,28,28,28,28,28,28,28
10465,18,18,18,18,18,18,18,18,18,18
10466,0,0,0,0,0,0,0,0,0,0
10467,0,0,0,0,0,0,0,0,0,0
10468,0,0,14,0,0,0,0,0,0,0
10469,53,53,53,53,53,53,53,53,53,53
10470,0,0,0,28,0,0,0,0,0,6
10471,0,0,0,0,0,0,0,0,0,0
10472,0,0,0,0,0,0,0,0,0,0
10473,4,4,4,4,4,4,4,4,4,4
10474,13,13,13,13,13,13,13,13,13,13
10475,0,0,0,0,0,0,14,0,0,0
10476,0,0,0,0,0,59,0,0,0,0
10477,0,0,0,0,1,0,0,0,0,0
10478,0,0,0,0,0,0,0,10,0,0
10479,11,11,11,11,11,11,11,11,11,11
10480,0,0,0,0,0,0,0,0,0,0
10481,6,0,0,0,0,0,0,0,0,0
10482,29,8,0,0,11,0,0,0,23,0
10483,0,0,0,0,0,0,0,0,0,0
10484,0,25,0,0,0,14,0,0,0,18
10485,0,11,0,0,23,0,10,4,14,0
10486,0,23,36,0,0,17,0,0,5,0
10487,0,0,0,0,0,0,0,0,0,0
10488,0,0,0,0,0,0,0,0,0,0
10489,0,0,0,0,36,0,0,0,0,0
10490,0,0,0,0,0,0,0,0,0,0
10491,0,0,0,5,0,0,0,22,5,5
10492,0,0,0,0,0,0,0,0,0,0
10493,0,0,0,0,0,0,0,0,0,0
10494,17,17,17,17,17,17,17,17,17,17
10495,0,0,0,0,0,0,0,0,0,0
10496,0,0,0,0,0,0,0,0,0,0
10497,0,0,0,0,0,0,0,0,0,0
10498,11,11,11,11,11,11,11,11,11,11
10499,0,0,0,0,0,0,0,0,0,0
10500,0,0,0,0,0,0,0,0,0,0
10501,2,2,2,2,12,21,2,21,2,2
10502,0,0,0,0,0,0,0,0,0,9
10503,0,0,0,0,0,0,0,0,0,0
10504,0,0,0,0,0,0,0,0,0,0
10505,17,0,12,0,0,0,0,0,0,0
10506,0,0,0,0,0,0,0,0,0,0
10507,0,0,0,0,0,0,0,0,0,0
10508,0,0,0,0,0,0,0,0,0,0
10509,8,17,8,19,8,19,8,8,8,8
10510,0,0,0,1,0,0,0,0,0,0
10511,0,0,11,0,0,0,0,0,0,0
10512,23,23,23,23,23,23,23,23,23,23
10513,18,18,18,18,18,18,18,18,18,18
10514,21,0,0,26,7,0,0,0,0,0
10515,0,0,0,0,0,0,0,0,0,0
10516,3,3,3,3,3,29,3,3,3,3
10517,0,0,0,0,0,0,0,0,0,0
10518,9,9,18,0,0,0,0,0,0,0
10519,0,0,0,0,0,0,0,30,0,0
10520,0,0,0,0,0,0,0,0,0,0
10521,0,0,0,0,0,0,0,0,0,0
10522,0,0,0,0,0,0,0,0,0,0
10523,0,0,11,0,0,0,0,0,0,0
10524,18,12,26,0,18,4,14,0,0,24
10525,10,10,11,18,0,30,0,5,15,0
10526,0,0,0,0,0,0,0,0,0,0
10527,3,3,3,3,3,3,3,3,3,3
10528,0,0,0,0,0,0,0,0,0,0
10529,0,20,0,0,0,0,0,0,0,0
10530,0,0,0,0,0,0,0,0,0,0
10531,26,0,0,0,24,0,13,0,0,0
10532,23,23,23,23,23,23,23,23,23,23
10533,9,9,9,9,9,9,9,9,9,9
10534,0,0,0,0,0,0,0,0,0,0
10535,2,2,2,2,2,2,2,2,2,2
10536,0,0,0,0,0,0,0,0,0,0
10537,29,29,29,29,29,29,29,29,29,29
10538,9,9,9,9,9,9,9,9,9,9
10539,12,12,12,12,12,12,12,12,12,12
10540,6,6,6,6,6,6,6,6,6,6
10541,0,0,0,0,0,0,0,0,0,0
10542,0,13,0,15,0,0,0,20,0,20
10543,0,0,15,0,0,0,0,0,0,0
10544,0,0,0,0,0,0,0,0,0,0
